id,monster_name,normal_drop,rare_drop,trivia_1,trivia_2,source_filename
1419,スライド,,,バルディスタの陰の実力者？ 小さな身体に秘めたチカラでカモをバタバタなぎ倒すとっても わるいスライムだ！,自分より身体の大きな魔物に バカにされるのが悔しくて 死ぬほど鍛えて強くなった。正真正銘の努力家でもある。,1419.webp
1420,ヒポキン,,,バルディスタ札付きのワル。オノを振り回し カモをおびえさせる とってもわるいヒッポキングだ！,新調したオノを振り回し いずれは魔界を統一すると イキがっていたが スライドに ポコられ 舎弟になった。,1420.webp
1421,アシュー,,,バルディスタ札付きのワル。右手の剣と左手の盾で カモをビビらせる とってもわるいアッシュリザードだ！,じつは 剣と盾は見かけ倒しで 剣術なんて からっきし。小さくても強いスライドに あこがれ 自ら舎弟になった。,1421.webp
1422,魔瘴狼イジャラン,,,うっかり魔瘴石に触れた影響で凶暴化した さんぞくウルフ。はげしい頭痛が理性をむしばみ欲望のままに敵を引き裂く。,及ばざれば衰弱の果てに死に 過ぎたれば暴走の果てに滅ぶ。魅力的だが厄介でもある魔瘴は 長年 魔界を悩ませ続けてきた。,1422.webp
1423,殺りくのグレボス,,,ケルヘナ幻野の界隈をなわばりとする ならず者。弱そうな者を見つけるととりあえずインネンをつける。,二つ名は 自らつけたもの。あまり殺しはしない主義だが この二つ名のおかげで 勝手に恐れられて便利らしい。,1423.webp
1424,死霊姫ヤサギリ,,,ギスマイヤーが死霊の書で召喚した タチの悪い死霊。聞くのもおぞましい呪いの歌を絶唱しながら襲いかかる。,自身を貴人と思い込んでいるが 生前は野盗のかしら。強奪した 金品に囲まれて暮らすうちに 妄想に飲み込まれてしまった。,1424.webp
1425,死霊兵クロマゲ,,,ギスマイヤーが死霊の書で召喚した陰険な死霊。生前はモリナラ大森林を根城にする兵士くずれの野盗だった。,飲む 遊ぶ 奪うという 享楽的な日々を過ごした挙句の 突然死。武士道ならぬ不死道を 歩みだすも無念に終わる。,1425.webp
1426,死霊王ギスマイヤー,,,死霊の書に魅入られ 道を踏み外したデスマスター。死霊の王国を築くことを夢見てヘドロの沼地に沈んだ。,生物の死体に愛着を抱き 標本収集を趣味にしていた。死の直前 収集した品々の 行く末を案じ 涙した。,1426.webp
1427,死霊兵ガテリアン,,,ギスマイヤーが死霊の書で召喚した凶悪な死霊。無数の戦死者の魂が結集し死と殺りくをまき散らす。,死霊兵ガテリアンに宿る魂は ウルベア地下帝国との戦争で 命を散らしたガテリア皇国の 兵士たちのものである。,1427.webp
1428,せんりつザクロ,サンドフルーツ,ごくじょうソルト,砂漠の宝石と呼ばれる高級果実くれないザクロを落とす。果実狙いの盗人を返り討ちにし戦慄させること数知れず。,くれないザクロは単に好物で おやつに携帯しているらしい。トボけた顔をしているが じつはかなりのグルメなのだ。,1428.webp
1429,陰獣,,,いにしえよりテンオツ貴人に仕える美しく気高き獣。世界の陰と陽の均衡を保つためいつも陽獣と一緒にいる。,古くから土の守り神として エルトナ大陸の豊穣の祈りを 受けてきた。テンオツ貴人の そばで昼寝をするのが好き。,1429.webp
1430,陽獣,,,いにしえよりテンオツ貴人に仕える美しく気高き獣。世界の陰と陽の均衡を保つためいつも陰獣と一緒にいる。,古くから水の守り神として エルトナ大陸に豊かな潤いを 与えてきた。テンオツ貴人と 手まりで遊ぶのが好き。,1430.webp
1431,陰果の罪業,,,天地雷鳴士 陰衆が代々請け負ってきた闇が蓄積され次第に形を成していき自我を持つまでになった存在。,陰衆の頭領ヨイの身体を のっとろうとしていたが アサヒに入ってしまったため 調整に時間がかかったらしい。,1431.webp
1432,陰果の罪業・核,,,陰果の罪業の核となる邪念。大きな汚れが小さなシミから広がるように 巨大な邪悪も小さな罪から生まれるのだ。,代々陰衆では汚れ仕事を 請けた際 罪の意識を薄める 術を使っていたが その罪まで 消えるわけではなかったのだ。,1432.webp
1433,剣魔の伝霊,,,剣の霊壇に祭られている剣魔の里の守護霊。実力のある剣魔一族の者に奥義 剣魔顕現を授ける。,奥義を授けるとき以外は 眠っているため 剣魔の里が すでに滅んでいることを 彼はまだ知らない。,1433.webp
1434,未完の魔導鬼,よごれたほうたい,炎魔の焼け石,未完のご神体の間を守護するが自身の名前すら記憶にない未完成の魔物。魔導鬼一族に似ているが詳細は不明。,ご神体の間の守護のほかに 何かの花を消し去る使命を 帯びていたような気もするが きっと 気のせいだろう。,1434.webp
1435,未完の破戒王,ふさふさの毛皮,まじゅうのツノ,創造主を絶対視するがその名前すら記憶にない。破戒王ベルムドに似せて創られた未完成の魔物。,わきあがる人間への憎悪に 戸惑いつつも この感情こそが 記憶を取り戻すカギだと信じ ただ憎しみをたぎらせる。,1435.webp
1436,超心覚の錬獣,,,五感を超える新たな感覚である超心覚を会得するために星辰武王によって召喚された光の河に棲む 聖なる獣。,出番のない時は光の河の奥で 猫のように丸まって寝ており 呼ばれても 一向に起きない。相当ぐうたらなヤツらしい。,1436.webp
1437,オン,,,アズラン地方に住まう土着神。怒りっぽいが豪快で気のいい温泉の神さまのひとり。火のチカラをつかさどる。,オンセンズというコンビ名で センと一緒に プクレット村の 演芸グランプリに出るのが夢。熱く騒がしいツッコミ担当。,1437.webp
1438,セン,,,アズラン地方に住まう土着神。冷静沈着だが流されやすい温泉の神さまのひとり。水のチカラをつかさどる。,オンセンズというコンビ名で オンと一緒に プクレット村の 演芸グランプリに出るのが夢。一見クールなボケ担当。,1438.webp
1439,遺跡の守護者,,,ザード遺跡で石の魔人に使役されるゴーレム。海運都市ザードの防衛は彼らが担っていた。,身体に描かれた紋様は ザード遺跡の壁にも見られる。かつて砂漠を支配した大ダコの 怨霊を鎮めるためのもの。,1439.webp
1440,歌声の化身,,,五声のひとつ「歌」の声を体現する声霊と呼ばれる存在。天唱楽師がゲストとして招き試練のライブをおこなった。,彼の歌声はどんなに遠く はなれていても必ず届く。たとえ耳をふさいでいても 頭の中に直接ひびくという。,1440.webp
1441,反逆者ゴッツェ,まじゅうのツノ,暗夜の魔石,大魔王に反旗をひるがえす魔界解放軍のリーダー。特別な魔瘴石のチカラを使い大魔王の座を狙う。,「大魔王に達する7つの習慣」 「ヴァルザード戦記」 「目指せネロドスボディ」 などの本を愛読している。,1441.webp
1442,ネロドスシャドウ,,,彫刻家モヒペンコが呼びだした大魔王ネロドスの幻影。不死のチカラこそないがその強さは本物に匹敵する。,生みだされた幻影は 強さこそ申し分ないが 元となった彫像から離れると たちまち消えてしまう。,1442.webp
1443,アトラスネオ,,,暗黒球を進もうとする者の前に立ちはだかる邪悪な巨人。チカラまかせに振るわれる棍棒の一撃は大地をも砕く。,見た目に似合わず地図を見て その場所を想像するのが好き。暗黒球から出られなくても 一向に苦にならないらしい。,1443.webp
1444,バズズエリート,,,暗黒球を進もうとする者の前に立ちはだかる狡猾な魔獣。策略で相手を破滅させることに無上の喜びを感じている。,若い頃から有能と評判で 出世街道を歩いてきたが その結果 暗黒球勤めに。左遷ではないかと疑っている。,1444.webp
1445,ベリアルオリジン,,,暗黒球を進もうとする者の前に立ちはだかる残忍な悪魔。持ち前の高い戦闘力は 一国の軍隊に匹敵すると怖れられる。,我こそ全ベリアルの始祖である との誇りを胸に生きているが 暗黒球暮らしで同族にも会えず プライドが満たされない日々。,1445.webp
1446,滅びの剣アンルシア,幻獣のホネ,彼岸の砂,メドナムにより 滅びの手の相方として生みだされた存在。魔勇者が抱いていた世界への憎悪が存在の核となっている。,オリジナルの魔勇者と同様に マデサゴーラに認められる 存在でありたいと願ったが ついにかなうことはなかった。,1446.webp
1447,マデサゴーラ,,,メドナムにより滅びの手として生みだされた存在。作品への評価が厳しく 失敗作である偽りの世界の破壊を試みる。,オリジナルの大魔王と比べると 自分の作品への愛着が薄く 完璧主義ばかりが極まって ついつい壊してしまいがち。,1447.webp
1448,絶望のダークネス,ガマのあぶら,激震のキバ,少女ソノラの心の闇が生み出した ちいさな怪物。子供のように駄々をこねながら襲いかかってくる。,友達からもらった宝物を 捨てられてしまった絶望が 具現化した存在。いつも キーキーと嘆いている。,1448.webp
1449,憎悪のダークネス,へびのぬけがら,激震のキバ,少女ソノラの心の闇が生み出した ちいさな怪物。子供のように駄々をこねながら襲いかかってくる。,母親が勝手に大切な宝物を 捨てたことに対する憎悪が 具現化した存在。いつも キーキーと怒っている。,1449.webp
1450,邪毒のウィーヌム,どくどくヘドロ,ナイトメアリーフ,人々の心に毒を植えつけその絶望を喰らうことを至上の喜びとする外道。好みの調理法は絶望の串焼き。,魔界で著名な美食家だったが 魔界にはない絶望の味に 魅せられ アストルティアへ 活動の場を移した。,1450.webp
1451,絶望の魔剣士,,,魔剣士ディゼルが絶望に飲まれ自我を失った姿。暴走する感情と魔の波動を抑えられずすべてを破壊しようとする。,父さんと母さんは俺が死ねば 俺を許してくれるだろうか？ 頭の中が黒く塗りつぶされて もう何も考えられない……。,1451.webp
1452,亡霊レブロ,,,かつて ネクロデア王国で名を馳せていた武器鍛冶職人。大魔王になるべき者のため技術書を守り続けていた。,生前 数えきれないほどの 武器を作り上げてきたが 振るうのは初めてだったため 内心 冷や冷やしていた。,1452.webp
1453,ザハルピオン,どくどくヘドロ,宵闇のジェル,ザハディガル岩峰に棲む伝説の巨大サソリ。その尾針には竜をも殺す強い毒を持つという。,バルディスタ軍ではその猛毒を 武器として利用している。過去にはある将校が私欲のため 盗み出したこともあるとか。,1453.webp
1454,凶拳暴鬼ダルカス,げんこつダケ,ぶどうエキス,武闘魔ガウラドの師匠。かつて魔界で凶拳暴鬼の異名をとどろかせた武闘家だったが超天道士に敗北し落ちぶれた。,彼がガウラドを救ったのは 気まぐれなどではない。ゴロッキをにらむ幼い目に宿る 強い反逆の光を感じたからだ。,1454.webp
1455,百怨邪ジャモー,,,伝説の魔鳥 百怨邪として魔界のすべてを手に入れるためツボの中での長き眠りから目覚めた ももんじゃ。,雄ももんじゃたちが開く イケメンコンテストに出たら ダントツ優勝のイケメンだが 本人にその自覚はない。,1455.webp
1456,呼声の化身,レッドアイ,大地の羽毛,五声のひとつ「呼」の声を体現する声霊と呼ばれる存在。天奏士ピパップの呼び声に応じ待ち合わせの場所に現れた。,呼ばれたサポートパイルは そのとき何をしていても急いで 駆けつけなければならない。食事中でもおかまいなし。,1456.webp
1457,オバケのピッピ,,,言うことを聞かない子供たちをさらってしまうというオバケ。月明かりの家の子供たちによりツボの中に閉じ込められた。,子供をさらうことができたら 盛大にもてなして翌日には 家に帰してあげるつもりだが 一度もさらえたためしがない。,1457.webp
1458,言声の化身,さえずりのみつ,ささやく枯れ葉,五声のひとつ「言」の声を体現する声霊と呼ばれる存在。天奏士コトノハの呼び声に応じ言の葉の舞う地に現れた。,強い思いの込められた言葉は その望みや恨みを具現化し 現実に影響をもたらしていく。それがすなわち呪文なのだ。,1458.webp
1459,剣魔ジルドラーナ,,,一族に伝わる究極奥義 剣魔顕現を使って強大な剣魔と化した魔元帥ゼルドラドの娘。,彼女は父の仇に挑戦した。それは恨みからではなく 自分自身を試すため。そして すべてに決着をつけるため。,1459.webp
1460,守護者ミトロン,,,ルファ神殿の最上階に現れた創生の祭壇の番人。光のチカラを探すモモモたちに試練として立ちはだかる。,ルティアナの依り代である イルーシャが神殿を訪れた時は 出現しないルールになっており サボっていたわけではない。,1460.webp
1461,忘我のシシカバブ,,,様々な願いをかなえた代償に悪霊に呪われたシシカバブ。ユシュカのためにみがいた多彩な技で襲いかかってくる。,デモンマウンテンに引き続き またもや呪われてしまった。純粋な心の持ち主だからこそ 呪術にかかりやすいのだ。,1461.webp
1462,フェンダ,,,元バンドマンの夫を持つバリバリのキャリアウーマン。仕事では辣腕を振るいバトルとなれば剛腕を振るう。,チケット争奪戦を制するため つちかった情報網と人脈 ライブ遠征でつけた体力が 今の彼女の礎となっている。,1462.webp
1463,ハルバルド海賊団,ウルベア銀貨,レンダーシード,ハルバルド海賊団の団員たち。その中でもウデの立つ３人がハルバルド船長の護衛として常に行動を共にしている。,それぞれエモノが異なるのは ハルバルド船長の命令。あらゆる敵に対応できるように 戦法を固定しない主義なのだ。,1463.webp
1464,ハルバルド船長,ウルベア金貨,黒アイパッチ,悪名高いハルバルド海賊団を率いる悪逆非道の海賊船長。マドロック船長とは同じ船の乗組員だった過去がある。,かつてはオノを愛用していたが マドロックがブーメランを 使うのを見てワシにもできると ブーメラン使いに転向した。,1464.webp
1465,怨讐のゲーダム,,,女王ディオーレの命令でハルバルド海賊団捕縛を目指す魔法戦士だったが海神の秘宝の闇のチカラに飲み込まれた。,海神の秘宝には海の邪神の チカラの一部が宿っていた。それは怨嗟の邪神と呼ばれる 存在と同一のものらしい。,1465.webp
1466,グリゴリきょじん,,,試練場のグリゴリぼうずが英雄たちにリベンジしようと天啓の霊玉のチカラでパワーアップした姿。,天啓の霊玉を手に入れるため 神様のフリをして 天使をだましていた時が 思いのほか楽しかったらしい。,1466.webp
1467,カーズ・ド・バニー,,,無垢なる愛で迎えられいつのまにか忘れられた。さみしさと心細さで魔物と化したウサギのぬいぐるみ。,とある骨董屋の店主いわく 稀代のぬいぐるみ職人が 魔界のプリンセスのために 一針一針縫った逸品だとか。,1467.webp
1468,アブカート,,,生前は聡明なるアブカートと呼ばれていた。ある王に仕えイーリィンと並びそろって王の両翼を担っていた。,誰より聡明で野心家の王は それゆえ孤独だった。皮肉にも かの女王は王を理解できる 唯一の相手だと思っていた。,1468.webp
1469,イーリィン,,,生前は勇敢なるイーリィンと呼ばれていた。かつて 多くの首級を挙げた槍と主君への忠誠心は死してなお苛烈。,数百年前の隣国からの侵略が 二国の対立の始まりだった。イーリィンの祖先も幾人か 仇敵の刃により落命している。,1469.webp
1470,哭声の化身,よるのとばり,おぼろ水晶,五声のひとつ「哭」の声を体現する声霊と呼ばれる存在。天奏士アカカの呼ぶ声に応じザグビナ遺構に現れた。,悲しみや苦しみをくり返し もはやナミダすら枯れ果てた。そのヒトミは何も映すことなく ただ虚無を見つめている。,1470.webp
1471,妄執のグリンデア,,,神々の時代 天星郷に仇なし封じられた存在。光の河から現れ 飛び去る姿を少女に天使と見間違えられた。,神に軽んじられ不当な扱いを 受けたと逆恨みし 光の神殿を 急襲するが時すでに遅く 神々はその姿を消していた。,1471.webp
1472,呪いの歌姫,,,６００年前にコルレーン王国に現れた魔物。その歌声はどんな作物も枯らしてしまうという。,趣味のガーデニングの最中に つい鼻歌を歌ってしまい 植物を枯らしてしまうのが 目下の悩み。,1472.webp
1473,原始獣フォドラス,,,太古のドワチャッカ大陸で暴虐の限りを尽くした魔物。当時 大地の三闘士が死闘の末に封印した。,三闘士の心域で発見された 宝石から現れたということは 記憶の産物であるということ。つまり本物は今もどこかに？,1473.webp
1474,闇のプスゴン,エルトナスイセン,イエローオーブ,闇のキーエンブレム・緑の邪悪なチカラに あやつられ我を失い 凶暴化してしまった怪獣プスゴン。,今もスイゼン湿原のどこかで すっかり 無口になった マイ・スウィートハートと デートを楽しんでいるらしい。,1474.webp
1475,闇のクァバルナ,ドワチャカオイル,グリーンオーブ,闇のキーエンブレム・黄の邪悪なチカラがポロヌスの穴一帯にただようクァバルナの残留思念に形を与えた。,もしもエルジュたちより先に クァバルナを発見した者が いたなら その相手に乗り移り 実体化してしまっただろう。,1475.webp
1476,ケイト,ぶどうエキス,烈風石,疾風のように現れた暴風のような冒険者。あこがれのエックスさんに追いつくため強さを求める。,集めた 闇のキーエンブレムは あこがれのエックスさんに 会えたら プレゼントする つもりだった。,1476.webp
1477,蘇りしラズバーン,,,かつての主 大魔王ネロドスの不死のチカラにより蘇った守護者ラズバーンの真の姿。冥王ネルゲル復活をもくろむ。,アストルティア侵略のためには 勇者との戦いを避けねばと悟り ラズバーンは500年かけて 冥王ネルゲル誕生を画策した。,1477.webp
1478,キリングエナジー,,,創世のピラーの暴走を告げる炎のごときエネルギーの化身。あふれる熱気をほとばしらせ冷酷非情に襲いかかってくる。,過去の暴走で天使ヘファースが 命を落とすことになったのは こいつと相打ちになったため。思いがけぬ敵討ちとなった。,1478.webp
1479,呻声の化身,まじゅうの皮,激震のキバ,五声のひとつ「呻」の声を体現する声霊と呼ばれる存在。天奏士ガランの呼ぶ声に応じ荒ぶる魂の水湖に現れた。,己をかえりみることなく ひたすらに肉体をきたえつづけ 耐えがたき苦しみに耐えた。その先に待つものは果たして？,1479.webp
1480,バズッチャイーナ,ピンクパール,幻獣の皮,ピンクの毛がキュートな自称バズを統べる神。スウィーティーな絶技の数々 め・し・あ・が・れ☆,ポップでバズな写真を撮って まちかど掲示板にアップし おひねりを稼ぐことで 生活しているらしい。,1480.webp
1481,風の竜イゾラ,,,神話の時代から存在するといういにしえの竜の１匹で風のチカラをつかさどる。無明導師イゾラの真の姿。,古き伝承によると 風の竜は いにしえの竜の中で もっとも 聡明なるものと言われており 雷の竜の相方が いたという。,1481.webp
1482,修練の竜アズーロ,,,イゾラの弟子 アズーロが竜化した姿。強くなりたいと強く願い 竜化の術を会得したその才能は底知れない。,師イゾラを尊敬しイゾラ推しの 第一人者を自負している。得意の手料理で 師に喜んで もらえるのが 何よりの楽しみ。,1482.webp
1483,蘇りしマアモン,,,蘇りし冥王ネルゲルの呼びかけに応え 冥府の淵より帰ってきた大怨霊マアモン。怨念のまま襲いかかってくる。,みごと現世に蘇りし暁には 大陸中のドワーフを滅ぼし ドワチャッカの金銀財宝を 我が物とするつもりだった。,1483.webp
1484,蘇りしジュリアンテ,,,蘇りし冥王ネルゲルの呼びかけに応え 冥府の淵より帰ってきた妖魔ジュリアンテ。怨念のまま襲いかかってくる。,みごと現世に蘇りし暁には オーガの王たちをあやつり 全種族へ宣戦布告させ 世界を 戦火に包むつもりだった。,1484.webp
1485,蘇りしイッド,,,蘇りし冥王ネルゲルの呼びかけに応え 冥府の淵より帰ってきた魔軍師イッド。怨念のまま襲いかかってくる。,みごと現世に蘇りし暁には メギストリス王家の血を絶やし 魔瘴でプクランド大陸を 覆い尽くすつもりだった。,1485.webp
1486,蘇りしアラグネ,,,蘇りし冥王ネルゲルの呼びかけに応え 冥府の淵より帰ってきた怪蟲アラグネ。怨念のまま襲いかかってくる。,みごと現世に蘇りし暁には エルフの聖地を破壊し エルトナ大陸全土を死と絶望で 埋め尽くすつもりだった。,1486.webp
1487,蘇りしバサグランデ,,,蘇りし冥王ネルゲルの呼びかけに応え 冥府の淵より帰ってきた暴君バサグランデ。怨念のまま襲いかかってくる。,みごと現世に蘇りし暁には 封印の巫女とその血脈を 皮切りにウェナ諸島全土を 滅ぼし尽くすつもりだった。,1487.webp
1488,蘇りし冥王ネルゲル,,,５つの闇のキーエンブレムのチカラによって 再び蘇りし冥王ネルゲル。もっとも強き冒険者の魂を 食らわんとす。,アストルティアで倒された 悪しき魔物や悪人の魂は 復讐のため 皆すすんで 冥府の王の糧となったという。,1488.webp
1489,無声の化身,,,五声に新たに加わった六の声「無声」を体現する声霊。五声の試練を超えた者によって生みだされ無の境地に現れた。,声に出して伝えられない。そういうこともあるだろう。しかし想いはいつか通じる。あきらめてはならない。,1489.webp
1490,原始のスライム,,,混沌の大地に 生まれたブルルンとした水色の巨体と無垢な まなざしがかわいらしい？モンスター。,皆さん おなじみのアイツらも 元は この1匹から始まった。彼こそが アストルティアで 初めてのスライムなのである。,1490.webp
1491,マスターグレイト,烈風石,風竜の羽毛,スキルマスターの弟子が呼ぶ最強クラスのドラゴン。マスタークラスを目指す者に資格があるか見極めんとする。,名前にある「マスター」は スキルマスターが与えたが 彼自身が変身した姿ではないか というウワサも絶えない。,1491.webp
1492,門より出でし者,,,地獄の門から生成された本来アストルティアには生息しない魔物。この討伐がガーディアンの任務のひとつ。,門から生み出される魔物は その時によって姿が異なるため これらの魔物たちを総称して 門より出でし者と呼んでいる。,1492.webp
1493,門より出でし魔獣,,,地獄の門から生成された魔獣。門の封印が ゆるんでいるため常時よりも強力な魔物が生成されるに至った。,魔神族ストレザーテの魔力から 生み出された。残忍かつ狡猾な 気質もストレザーテ本人の 性格が反映されたもの。,1493.webp
1494,魔神族の影人形,,,封印が解けた地獄の門から生成された おぞましく強大な魔物。門そのものがある限り何体でも生み出される。,魔神族ストレザーテは無限の 魔力により姿を自在に変えた。本来の姿は雲をつくほど巨大で その頭は地獄の門に似ていた。,1494.webp
1495,ダースロード,ドラゴンの皮,激震のキバ,不安定な創生のチカラを取り込んだダースドラゴン。通常の個体よりも高い知能と強いチカラを持っている。,ある天使に敗れ 長い間 封印されていたため 天使を憎み どうやって 皆殺しにするかを考えていた。,1495.webp
1496,天奏士シーギア,,,天唱楽師に仕える者のひとり。最初に天奏士となった人物で彼の秘書的な役割をしている。性格は おっとり型。,天奏士の役割のひとつは 寝食を忘れて演奏にふける 天唱楽師をいさめたり 何かと世話を焼くことである。,1496.webp
1497,天奏士ピパップ,,,天唱楽師に仕える者のひとり。天奏士としては新参だがまわりからの人気は高い様子。かなりのお嬢様気質。,天奏士の役割のひとつは 慰問と称して天唱楽師が開く 演奏会に参加し 歌と踊りで 場を盛りあげることである。,1497.webp
1498,天奏士コトノハ,,,天唱楽師に仕える者のひとり。若く見えるが 天奏士の中ではじつは いちばんの年上。性格はとても実直。,天奏士の役割のひとつは 五つの大陸の「声」のチカラが 集まる場所で チカラの状態を 監視することである。,1498.webp
1499,天奏士アカカ,,,天唱楽師に仕える者のひとり。天奏士ピパップに次ぐ新参でまだまだ修行中の身。性格はちょっと臆病。,天奏士の役割のひとつは 「声」をつかさどる声霊と 密に連絡を取りあい 良好な関係を保つことである。,1499.webp
1500,天奏士ガラン,,,天唱楽師に仕える者のひとり。粗野なふるまいが目立つがそこを主に気に入られたとか。がんばり屋さんとのウワサも。,天奏士の役割のひとつは 必要とあらば それぞれが 得意とする武器を手にして 戦いにおもむくことである。,1500.webp
1501,天声の化身,,,かつて五声に分かれた原初の声「天声」を体現する化身。六聖陣のひとり 天唱楽師の身を借り 天声の間に現れた。,天声は 女神ルティアナの声。呼 言 歌 哭 呻の声となり 五つの種族に加護を与え 生き方に影響をもたらした。,1501.webp
1502,混沌竜ランブルス,,,神話の時代にナドラガンドの混沌の地が生みだした魔物。その凶暴さたるや大地を破壊する勢いである。,5つのアタマのうちの1つは じつは おとなしい性格で 暴れたくないと思っているが なかなか言いだせずにいる。,1502.webp
1503,ギガデンデロベー,,,黄金の果実をクチにして脅威のパワーアップをとげたデンデロベー。クチからはなぜかふしだらな香りがする。,ねえ モーモリーナ…… 神気を宿して輝くぼくの姿を 見ておくれよ。まるで 天に煌めく星みたいだろう？,1503.webp
1504,ギガモーモリーナ,,,黄金の果実をクチにして脅威のパワーアップをとげたモーモリーナ。サングラスの強度と輝きも大幅アップ。,アンタに詰まっているのは 神気じゃなくて脂肪！ メタボが原因で病気になれば 天に召されて星になれるわよ！,1504.webp
1505,クルミンクス,,,ゴーラのほら穴に棲む魔物。鋭い嗅覚で 希少なツヤツヤくるみを見つけてはせっせと蓄えている。,ツヤツヤくるみの食べ過ぎで 肥大化してしまったため そろそろダイエットしようかと 考えている。,1505.webp
1506,亡国の記憶,,,王家の墓にひそむ謎の存在。グランゼドーラ王国の建国にも何かしら関係があるらしい。,正体は勇者アジールの亡霊。ゼドラ王国崩壊後の混迷の時代 グランゼドーラ初代王と共に 人々を平和へと導いた。,1506.webp
1507,謎のバケモノ,,,オルセコ高地の漆黒の間に現れた謎の化け物。死に際に何やら意味深なことを言い残している。,真っ黒な身体をしているが 本人的には満足しておらず さらなる黒さを求めて 漆黒の間を訪れたらしい。,1507.webp
1508,ルーイン,,,ドラゴラムで竜化した竜術士ルーイン。奥義を習得するやいなやバウギスに襲いかかる。,そこそこ気に入った姿に 竜化できたため 自身に眠る潜在的なチカラに 自信を持ってしまったようだ。,1508.webp
1509,虚竜王グリーデル,,,かつてバウギスのチカラを奪い生まれた虚竜のなれの果て。チカラを求めてあらゆるものを破壊しつくす。,数百年ぶりに復活できたため もう楽しくてしょうがない。復活直後は何時間もの間 大空を翔け回った。,1509.webp
1510,アサヒ,,,滋陽強壮の薬というあやしげな薬を飲んでパワーアップしたアサヒ。普段より元気ましましらしい。,陽のチカラを高めることで 術者の能力を極限まで引きだし げんまの4体同時召喚という 無理を押し通した。,1510.webp
1511,お掃除マシン・白式,,,アラハギーロの地下倉庫に設置されていた清掃マシン。ハイパーお掃除モードで倉庫を根こそぎ片付けちゃいます。,大きなゴミから小さなチリまで 逃さずキャッチ。両腕の オプションパーツを 変えれば 防犯用にも使える優れモノだ。,1511.webp
1512,チュピちゃん,,,エドアルドが作った木製の鳥のおもちゃ。普段は温厚でヒトを襲うようなマネはしないとても いい子なのだが……。,悲嘆に惑い闇雲に飛んでいたら 灯台にぶつかり部品がとれた。認知回路が乱れ 近づく者を 敵と判断するようになった。,1512.webp
1513,慟哭のロベール,,,ふたたび精霊の泉で遭遇した謎の亡霊。その正体はムニエカを去った元住民ロベールその人だった。,人前ではオルーサのことを おふくろと呼んでいるが ふたりきりでいるときは おかあさんと呼ぶらしい。,1513.webp
1514,赤眼のギガントヒルズ,大きなうろこ,悲願の血涙,燃えるような赤い目を持つため赤眼の魔物と呼ばれているが正式名称ではない。鋭利な爪で容赦なく敵を切り裂く。,赤眼の魔物に対抗すべく 討伐ギルドが結成されたが 灼光骨を持っていること以外 多くが謎に包まれている。,1514.webp
1515,魔剣神レパルド,ふさふさの毛皮,まじゅうの皮,神のチカラを宿した魔剣に魅入られし武人の成れの果て。貪欲に強さを求め 無双の剣技で 強者の命を喰らう。,ナゾの洞窟に人が来なくなって もはや幾星霜……。魔剣神といえども長期の ブランクは重かったようだ。,1515.webp
1516,神獣ゼナベスティア,,,父 主神グランゼニスの神獣ラキをもとにゼニアスの民の脅威たるべしと女神ゼネシアが創生した忠実なる神獣。,ラキに匹敵する強さと ラキよりも残忍な心を持ち 主が望むなら国ひとつ滅ぼす こともいとわぬ忠実な神獣。,1516.webp
1517,呪魔バルシラ,,,バジっ娘一族の大長老を務めるバルシラがバジルーラを奪った魔物から呪いを受けたすえの姿。,ストレスがたまった時は あえて この姿に変身し ホールケーキを丸ごとで食べて 発散している。,1517.webp
1518,赤眼のギガンテス,暗黒の樹木,大きなホネ,燃えるような赤い目を持つため赤眼の魔物と呼ばれているが正式名称ではない。愛用の棍棒をふるい 敵を粉砕する。,限られた赤眼の魔物だけが 灼光骨を持つ。骨に秘められた チカラが所有者の能力の 限界を引き上げているようだ。,1518.webp
1519,キュロンイーター花,,,白い星形の花を背に咲かせたキュロンイーター。通常より臆病で神経質になっており暴れだすと手が付けられない。,一見かわいらしい花だが キュロン人にとっては死を 意味するためキラースターと 呼ばれ 恐れられている。,1519.webp
1520,精霊獣ペリッチィ,こうもりのはね,せいれいせき,隠者パンメッポが呼びよせたジャンボでキュートな精霊獣。魅惑のぽよよんボディは精霊以外の攻撃に耐性がある。,じつは試練にはバイトとして 手伝いにきていたらしい。バイト代はパンメッポが 身を削って絞り出した精霊力。,1520.webp
1521,精霊を喰らうもの,するどいキバ,まじゅうの皮,陰者ブロズが呼び寄せた暴飲暴食の精霊獣。精霊が大好物で 発見すると目の色を変えて突進する。,周りに精霊がいないときは ブロズの精霊力を食べている。超がつくほど大食らいなので ブロズの体重が激落ちした。,1521.webp
1522,精霊超人ブロズ,まほうの樹木,せいれいせき,陰者ブロズが精霊を吸収しそのチカラで超人化した姿。自然を破壊する人々を憎み人類滅亡を誓っている。,はじめて精霊を目にしたとき あまりの美しさに心を奪われ 必ず守ると誓った。純粋すぎる 思いが 彼を凶行に走らせた。,1522.webp
1523,サミュエル,,,創失の主神によって蘇りガナン帝国領に出現した正体不明の魔物。,かつてゼニアスを 滅ぼさんとした堕天使と 似た模様の翼を持つのは 果たして偶然だろうか……。,1523.webp
